#NAME: SHUBHAM SHARMA
#ROLL NO: 18i190002
#COURSE: MSC PHD OR
param N:=12;
param COSTM: 1 2 3 4 5 6 7 8 9 10 11 12=
1 0 11 13 9 19 20 27 13 19 11 19 10
2 11 0 8 9 11 19 10 15 12 20 24 11
3 13 8 0 18 19 20 27 27 19 24 12 17
4 9 9 18 0 19 20 10 20 21 20 20 10
5 19 11 19 19 0 21 17 26 20 14 24 17
6 20 19 20 20 21 0 28 14 22 17 22 20
7 27 10 27 10 17 28 0 12 18 26 10 22
8 13 15 27 20 26 14 12 0 27 10 19 17
9 19 12 19 21 20 22 18 27 0 20 22 16
10 11 20 24 20 14 17 26 10 20 0 25 21
11 19 24 12 20 24 22 10 19 22 25 0 21
12 10 11 17 10 17 20 22 17 16 21 21 0;

param TRIPSM: 1 2 3 4 5 6 7 8 9 10 11 12=
1 0 21 21 0 23 20 18 19 0 20 24 25
2 20 18 21 20 19 0 22 20 18 19 0 23
3 21 23 18 19 0 17 16 24 16 18 24 0
4 12 0 18 0 21 22 20 17 15 16 24 21
5 17 18 19 0 16 21 21 23 21 0 21 21
6 22 23 20 24 21 19 20 0 19 17 22 20
7 20 22 0 17 23 0 21 19 24 25 20 17
8 0 0 23 17 24 22 23 0 19 22 20 23
9 22 22 21 21 24 24 18 18 19 22 22 23
10 21 0 22 0 23 16 17 24 19 23 20 23
11 0 22 24 23 20 18 16 19 24 22 22 24
12 17 24 20 16 18 19 0 18 17 21 20 0;

