#NAME: SHUBHAM SHARMA
#ROLL NO: 18i190002
#COURSE: MSC PHD OR
param N:=12;
#The cost of constructing (setup cost) the ith facility at the jth location provided in the Table 1 below
param COSTM: 1 2 3 4 5 6 7 8 9 10 11 12=
1 19.1 12 18 19 21.8 17 20 16 15 2.2 21.8 24
2 22.8 22.4 19 21.8 22 24 18 17 21.8 19 22 23.2
3 18.3 23.2 20 20 21.8 22 19 18 20 23.2 19 19
4 18 21.8 20 18 17 19 24 16 18 16 20 24
5 23.2 17 16 19 24 21.8 23.2 21.8 20 21.8 22 21.8
6 23.2 20 17 16 20 23.2 22 25 24 19 17 20
7 22 18 17 15.2 22 24 23.2 20 22 19 23.2 20
8 24 22 21.8 23.2 18 17 16 19 24 21.8 20 23.2
9 21.8 20 17 18 16 24 19 17 18 20 21.8 23.2
10 19 22 21.8 24 20 23.2 19 18 23.2 24 25 20
11 20 24 22 20 23.2 19 18 16 22 24 21.8 24
12 22 23.2 24 20 21.8 20 20 19 17 19 20 22;
